Status,Genus,Species,Body,Brain
Extant,Lutrogale,perspicillata,9.10497985631836,4.17007027275024
Extant,Lutra,lutra,9.08136999067922,3.74004774068834
Extant,Lutra,maculicollis,8.29654652030061,3.68987895444702
Extant,Enhydra,lutris,10.0647557001323,4.82999232768086
Extant,Lontra,canadensis,8.96826881077645,3.95718755738252
Extant,Lontra,longicaudis,8.98719682066197,3.88156379794344
Extant,Lontra,felina,8.29404964010203,3.65713075579936
Extant,Pteronura,brasiliensis,10.0858091093301,4.4500356890381
Extant,Mustela,frenata,5.01063529409626,1.38879124131848
Extant,Neovison,vison,6.46925031679577,1.94591014905531
Extant,Mustela,erminea,4.78749174278205,1.38629436111989
Extant,Mustela,lutreolina,6.08677472691231,2.14006616349627
Extant,Mustela,nigripes,6.74523634948436,2.14006616349627
Extant,Mustela,putorius,6.82437367004309,2.11625551480255
Extant,Mustela,sibirica,6.01615715969835,1.90954250488444
Extant,Mustela,altaica,5.13579843705026,1.50407739677627
Extant,Mustela,nivalis,4.60517018598809,0.688134638736401
Extant,Melogale,personata,7.43838353004431,2.62684014567667
Extant,Melogale,moschata,6.84428285602656,2.78809290877575
Extant,Meles,meles,9.47270463644367,3.91999117507732
Extant,Arctonyx,collaris,8.75778365633417,3.89995042419388
Extant,Mellivora,capensis,9.04782144247841,4.29004839777753
Extant,Taxidea,taxus,8.86925752279729,3.88998187455127
Extant,Bassariscus,astutus,7.02997291170639,2.79971738962803
Extant,Bassariscus,sumichrasti,6.80239476332431,2.96010509591084
Extant,Procyon,cancrivorus,8.68101127664563,3.67554088967476
Extant,Procyon,lotor,8.61794309451638,3.68987895444702
Extant,Nasua,narica,8.21608809863232,3.63758615972639
Extant,Nasua,nasua,8.26100978602383,3.39986315864902
Extant,Bassaricyon,alleni,7.12286665859908,2.91668906621354
Extant,Bassaricyon,gabbii,7.13089883029635,2.83438912314523
Extant,Potos,flavus,8.00636756765025,3.23985423125339
Extant,Ailurus,fulgens,8.49699048409872,3.70990682130601
Extant,Conepatus,chinga,7.56008046502183,2.69327491552006
Extant,Conepatus,leuconotus,8.1605182474775,2.67000213346468
Extant,Conepatus,humboldtii,7.00089036771729,2.37490575457367
Extant,Conepatus,semistriatus,7.62070508683826,2.94021956362373
Extant,Mephitis,mephitis,7.64491934495886,2.33020026002702
Extant,Mephitis,macroura,7.00102701894258,2.13298230860787
Extant,Spilogale,putorius,5.82894561761021,1.6094379124341
Fossil,Promephitis,hootoni,7.33302301438648,2.47401420862158
Extant,Mydaus,javanensis,7.82404601085629,2.96990151351947
Extant,Odobenus,rosmarus,14.0529316976966,6.98100574072173
Extant,Otaria,flavescens,11.8775685785581,5.6641056575033
Extant,Arctocephalus,tropicalis,12.3779229024568,5.24702407216049
Extant,Arctocephalus,pusillus,11.2644641056717,5.82156551031258
Extant,Arctocephalus,gazella,12.4587749990859,5.19351225218191
Extant,Neophoca,cinerea,12.8212582846204,5.33768230007029
Extant,Arctocephalus,australis,12.4470561149727,5.05465217951303
Extant,Arctocephalus,galapagoensis,12.1199699464768,5.03500265054455
Extant,Arctocephalus,forsteri,12.4379380506563,5.17897060891547
Extant,Arctocephalus,philippii,12.5084893777389,5.26656866823346
Extant,Phocarctos,hookeri,12.8758232482837,5.62221082096239
Extant,Zalophus,californianus,12.7728059012345,5.42164058258004
Extant,Eumetopias,jubatus,13.6805495725302,6.06675753114341
Extant,Callorhinus,ursinus,12.5810785461536,5.15692659835605
Extant,Monachus,monachus,12.8212582846204,5.96742796927974
Extant,Monachus,schauinslandi,12.0610468734799,5.91350300563827
Extant,Mirounga,angustirostris,14.2126074164019,6.50727771238501
Extant,Mirounga,leonina,14.7199817130331,6.55233668835811
Extant,Leptonychotes,weddellii,12.9732831543902,6.15183867816911
Extant,Hydrurga,leptonyx,13.2076232213552,6.24125002936861
Extant,Lobodon,carcinophaga,12.8975559426034,5.94379625340648
Extant,Ommatophoca,rossii,12.6095357509677,5.87913536213406
Extant,Histriophoca,fasciata,11.2942718189289,5.5164483760387
