bc,N,kmean,clust,smean,wclust,dirname,filename,order,genus,species,interaction_type,population_type,division
8.7598256041119,8,4.5,0.5875,4.499999999975,0.0977196824011519,colobus_guereza_grooming_griffin,weighted_primate_matrix_6,Primates,Colobus,guereza,grooming,free-ranging,old_world
,6,2,0,,0,dog_sexual_unweighted,dog_pal_sexual_network_2006_attribute,Carnivora,Canis,familiaris ,FE_mating,free-ranging,
,6,2,0,,0,dog_sexual_unweighted,dog_pal_sexual_network_2009_attribute,Carnivora,Canis,familiaris ,FE_mating,free-ranging,
2.78459951346641,7,1.71428571428571,0,2.57142857142857,0,dog_sexual_weighted,dog_cafazzo_sexual_network_attribute,Carnivora,Canis,familiaris ,FE_mating,free-ranging,
6.52373875125469,62,5.12903225806452,0.25895824605502,,,dolphin_proximity_unweighted,unweighted_social_dolphin_Lusseau,Artiodactyla,Tursiops,truncatus,spatial_proximity,free-ranging,
2.89509175994841,46,2.43478260869565,0.03743961352657,2.43478260869565,0.03743961352657,elephantseal_dominance_weighted,weighted_dominance_phys_contact_2010_2011,Carnivora,Mirounga,angustirostris,dominance,free-ranging,
2.54549438914601,9,1.77777777777778,0,1.77777777777778,0,elephantseal_dominance_weighted,weighted_dominance_phys_contact_2010_2012_peidras_blanca,Carnivora,Mirounga,angustirostris,dominance,free-ranging,
3.39250243955103,24,2.5,0.133333333333333,2.5,0.133333333333333,elephantseal_dominance_weighted,weighted_dominance_phys_contact_2011_2012,Carnivora,Mirounga,angustirostris,dominance,free-ranging,
inf,4,1.5,0,1.5,0,elephantseal_dominance_weighted,weighted_dominance_phys_contact_2012_2013,Carnivora,Mirounga,angustirostris,dominance,free-ranging,
8.12631251840858,19,5.15789473684211,0.559463051568315,5.15789473678947,0.0744971315030743,erythrocebus_patas_grooming_griffin,weighted_primate_matrix_7,Primates,Erythrocebus,patas,grooming,free-ranging,old_world
2.83752767133412,14,2.14285714285714,0,5.57142857142857,0,fossa_sexual_weighted,fossa_hawkins_sexual_network_attribute,Carnivora,Cryptoprocta,ferox ,FE_mating,free-ranging,
10.6286333601253,60,11.3333333333333,0.501743173982507,1.20173333333333,0.0697806871811948,groundsquirrel_association_weighted,ground_squirrel_smith_2016a_attribute,Rodentia,Otospermophilus,beecheyi,spatial proximity,free ranging,
103.980773477725,59,23.5593220338983,0.77942431888436,2.34261016949153,0.0824783755263587,groundsquirrel_association_weighted,ground_squirrel_smith_2016b_attribute,Rodentia,Otospermophilus,beecheyi,social projection bipartite,free ranging,
8.40568779025512,59,8.94915254237288,0.500108002024621,0.97335593220339,0.069568076249472,groundsquirrel_association_weighted,ground_squirrel_smith_2017a_attribute,Rodentia,Otospermophilus,beecheyi,spatial proximity,free ranging,
100.82800592978,61,27.672131147541,0.782931360021628,3.79186885245902,0.0872202816647549,groundsquirrel_association_weighted,ground_squirrel_smith_2017b_attribute,Rodentia,Otospermophilus,beecheyi,social projection bipartite,free ranging,
2.66666666666667,4,1.5,0,2.5,0,howler_sexual_weighted,howler_monkey_oklander_sexual_network_autumn_attribute,Primates,Alouatta,caraya ,FE_mating,free-ranging,new_world
6,4,1.5,0,2.5,0,howler_sexual_weighted,howler_monkey_oklander_sexual_network_spring1_attribute,Primates,Alouatta,caraya ,FE_mating,free-ranging,new_world
inf,3,1.33333333333333,0,4,0,howler_sexual_weighted,howler_monkey_oklander_sexual_network_spring2_attribute,Primates,Alouatta,caraya ,FE_mating,free-ranging,new_world
2.57083517719317,5,1.6,0,4.4,0,howler_sexual_weighted,howler_monkey_oklander_sexual_network_summer_attribute,Primates,Alouatta,caraya ,FE_mating,free-ranging,new_world
2.68750385617017,11,2,0,3.81818181818182,0,howler_sexual_weighted,howler_monkey_oklander_sexual_network_winter_attribute,Primates,Alouatta,caraya ,FE_mating,free-ranging,new_world
58.7139852366028,50,36.04,0.887184944166443,11.750192603524,0.132473096821693,humpbackdolphin_proximity_weighted,humpback_dolphin_hunt,Artiodactyla,Sousa,sahulensis,spatial_proximity,free ranging,
